,Pet,Country,Population,Human Population,PPC,Happiness.Score
0,Dog,China,27400000,1330.14129,0.020599315,5.272999763
2,Dog,Russia,12520000,139.39021,0.089819794,5.962999821
6,Dog,Japan,12000000,126.80443,0.094633918,5.920000076
8,Dog,Philippines,11600000,99.90018,0.116115907,5.429999828
9,Dog,India,10200000,1173.10802,0.008694851,4.315000057
10,Dog,Argentina,9200000,41.3432,0.222527526,6.598999977
12,Dog,France,7570000,63.33964,0.119514415,6.441999912
16,Dog,South Africa,7400000,49.10911,0.150684873,4.828999996
18,Dog,Poland,7311000,38.46369,0.190075367,5.97300005
22,Dog,Italy,7000000,58.12216,0.120435992,5.964000225
26,Dog,Germany,5300000,82.28299,0.064411855,6.951000214
30,Dog,Ethiopia,5000000,88.01349,0.056809473,4.460000038
31,Dog,Spain,4720000,46.50596,0.101492368,6.402999878
35,Dog,Romania,4166000,21.95928,0.189714781,5.824999809
39,Dog,Australia,3700000,21.51575,0.171967047,7.28399992
43,Dog,Czech Republic,3152000,10.20171,0.30896781,6.609000206
45,Dog,Hungary,2856000,9.99234,0.285818937,5.323999882
