Pet,Country,Population,Human Population,PPC,Happiness.Score
Dog,China,27400000,1330.14129,0.020599315,5.272999763
Cat,China,53100000,1330.14129,0.039920571,5.272999763
Dog,Russia,12520000,139.39021,0.089819794,5.962999821
Cat,Russia,17800000,139.39021,0.127699069,5.962999821
Bird,Russia,2800000,139.39021,0.020087494,5.962999821
Fish,Russia,770000,139.39021,0.005524061,5.962999821
Dog,Japan,12000000,126.80443,0.094633918,5.920000076
Cat,Japan,7300000,126.80443,0.057568967,5.920000076
Dog,Philippines,11600000,99.90018,0.116115907,5.429999828
Dog,India,10200000,1173.10802,0.008694851,4.315000057
Dog,Argentina,9200000,41.3432,0.222527526,6.598999977
Cat,Argentina,3000000,41.3432,0.072563324,6.598999977
Dog,France,7570000,63.33964,0.119514415,6.441999912
Cat,France,11480000,63.33964,0.18124511,6.441999912
Bird,France,6200000,63.33964,0.09788499,6.441999912
Fish,France,37300000,63.33964,0.588888728,6.441999912
Dog,South Africa,7400000,49.10911,0.150684873,4.828999996
Cat,South Africa,2000000,49.10911,0.040725641,4.828999996
Dog,Poland,7311000,38.46369,0.190075367,5.97300005
Cat,Poland,5550000,38.46369,0.144291928,5.97300005
Bird,Poland,1300000,38.46369,0.033798109,5.97300005
Fish,Poland,231000,38.46369,0.006005664,5.97300005
Dog,Italy,7000000,58.12216,0.120435992,5.964000225
Cat,Italy,7400000,58.12216,0.127318049,5.964000225
Bird,Italy,13000000,58.12216,0.223666842,5.964000225
Fish,Italy,1540000,58.12216,0.026495918,5.964000225
Dog,Germany,5300000,82.28299,0.064411855,6.951000214
Cat,Germany,8200000,82.28299,0.099656077,6.951000214
Bird,Germany,3500000,82.28299,0.04253613,6.951000214
Fish,Germany,2000000,82.28299,0.02430636,6.951000214
Dog,Ethiopia,5000000,88.01349,0.056809473,4.460000038
Dog,Spain,4720000,46.50596,0.101492368,6.402999878
Cat,Spain,3385000,46.50596,0.07278637,6.402999878
Bird,Spain,3718000,46.50596,0.079946742,6.402999878
Fish,Spain,170000,46.50596,0.003655445,6.402999878
Dog,Romania,4166000,21.95928,0.189714781,5.824999809
Cat,Romania,3891000,21.95928,0.177191602,5.824999809
Bird,Romania,264000,21.95928,0.012022252,5.824999809
Fish,Romania,96000,21.95928,0.004371728,5.824999809
Dog,Australia,3700000,21.51575,0.171967047,7.28399992
Cat,Australia,2200000,21.51575,0.102250677,7.28399992
Bird,Australia,7800000,21.51575,0.362525127,7.28399992
Fish,Australia,20500000,21.51575,0.952790398,7.28399992
Dog,Czech Republic,3152000,10.20171,0.30896781,6.609000206
Cat,Czech Republic,1750000,10.20171,0.171539869,6.609000206
Dog,Hungary,2856000,9.99234,0.285818937,5.323999882
Cat,Hungary,2240000,9.99234,0.224171716,5.323999882
Bird,Hungary,445000,9.99234,0.044534113,5.323999882
Fish,Hungary,58000,9.99234,0.005804446,5.323999882
Cat,Brazil,12466000,201.10333,0.061988034,6.635000229
Bird,Brazil,191001000,201.10333,0.949765476,6.635000229
Fish,Brazil,26500000,201.10333,0.131773054,6.635000229
Cat,Ukraine,7350000,45.4156,0.161838663,4.096000195
Cat,Netherlands,2877000,16.78309,0.171422545,7.376999855
Bird,Netherlands,4490000,16.78309,0.267531188,7.376999855
Fish,Netherlands,708000,16.78309,0.042185319,7.376999855
Cat,Belgium,1884100,10.42349,0.180755198,6.890999794
Bird,Belgium,2700000,10.42349,0.259030325,6.890999794
Fish,Belgium,146000,10.42349,0.014006825,6.890999794
Bird,Greece,980000,10.74994,0.0911633,5.227000237
Fish,Greece,38000,10.74994,0.003534903,5.227000237
Bird,Portugal,640000,10.73577,0.059613796,5.195000172
Fish,Portugal,74000,10.73577,0.006892845,5.195000172
Bird,New Zealand,527000,4.25012,0.123996499,7.31400013
Fish,New Zealand,1678000,4.25012,0.394812382,7.31400013
Bird,Switzerland,383000,7.65844,0.050010185,7.493999958
Fish,Switzerland,169000,7.65844,0.022067157,7.493999958
Bird,Sweden,322000,9.07406,0.035485769,7.28399992
Fish,Sweden,262000,9.07406,0.028873514,7.28399992
Bird,Austria,281000,8.21416,0.034209219,7.006000042
Fish,Austria,71000,8.21416,0.008643611,7.006000042
